Fecha,Hora,AGU,ATM,CEN,LDO,MIR,OBL,TLA,VAL
2001-01-03,08,19.000000,34.000000,55.000000,23.000000,31.000000,22.000000,41.000000,19.000000
2001-01-03,09,20.000000,35.000000,47.000000,23.000000,34.000000,19.000000,43.000000,21.000000
2001-01-03,10,19.000000,28.000000,44.000000,23.000000,31.000000,17.000000,44.000000,21.000000
2001-01-03,11,18.000000,27.000000,42.000000,23.000000,32.000000,17.000000,46.000000,19.000000
2001-01-03,12,20.000000,23.000000,39.000000,23.000000,30.000000,16.000000,38.000000,15.000000
2001-01-03,13,19.000000,22.000000,39.000000,23.000000,31.000000,16.000000,42.000000,14.000000
2001-01-03,14,20.000000,20.000000,38.000000,23.000000,32.000000,16.000000,44.000000,16.000000
2001-01-03,15,20.000000,21.000000,40.000000,22.000000,33.000000,17.000000,46.000000,15.000000
2001-01-03,16,20.000000,25.000000,43.000000,23.000000,34.000000,18.000000,43.000000,14.000000
2001-01-03,17,19.000000,27.000000,44.000000,22.000000,33.000000,19.000000,42.000000,17.000000
2001-01-03,18,17.000000,34.000000,50.000000,23.000000,41.000000,20.000000,48.000000,19.000000
2001-01-03,19,18.000000,34.000000,45.000000,23.000000,42.000000,20.000000,50.000000,19.000000
2001-01-03,20,17.000000,41.000000,49.000000,23.000000,42.000000,21.000000,44.000000,23.000000
2001-01-03,21,18.000000,43.000000,46.000000,22.000000,41.000000,20.000000,48.000000,26.000000
2001-01-03,22,19.000000,32.000000,53.000000,23.000000,42.000000,24.000000,43.000000,24.000000
2001-01-03,23,18.000000,24.000000,54.000000,23.000000,42.000000,23.000000,45.000000,15.000000
2001-01-04,00,17.000000,22.000000,47.000000,23.000000,42.000000,20.000000,48.000000,11.000000
2001-01-04,01,17.000000,18.000000,46.000000,23.000000,38.000000,22.000000,46.000000,13.000000
2001-01-04,02,18.000000,32.000000,41.000000,24.000000,36.000000,18.000000,46.000000,23.000000
